k2;codkon;k12;k4;k41;k42;k43;k44;npr
машиностроения;01;0;0;0;0;0;0;0
охраны окружающей среды и экологии человека;02;0;0;0;0;0;0;0
лесного комплекса;03;0;0;0;0;0;0;0
энергетики и электротехники;04;0;0;0;0;0;0;0
геодезии и картографии;05;0;0;0;0;0;0;0
информатики, кибернетики, автоматики и телемеханики,метрологии и связи;06;0;0;0;0;0;0;0
фундаментального естествознания;07;0;0;0;0;0;0;0
технологических проблем производства авиакосмическойтехникии;08;0;0;0;0;0;0;0
сельхозмашиностроения;09;0;0;0;0;0;0;0
математики;10;0;0;0;0;0;0;0
электроники и радиотехники;11;0;0;0;0;0;0;0
горных наук;12;0;0;0;0;0;0;0
геологии;13;0;0;0;0;0;0;0
приборостроения;14;0;0;0;0;0;0;0
металлургии;15;0;0;0;0;0;0;0
гуманитарных наук;16;0;0;0;0;0;0;0
ядерной техники и физики пучков ионизирующих излучений;17;0;0;0;0;0;0;0
